Date,Earth_x,Earth_y,Mars_x,Mars_y,Venus_x,Venus_y,Mercury_x,Mercury_y
2000-01-01,-0.16856310279061257,0.9687605828300485,1.3903604198972535,-0.020998422111448756,-0.718629214141568,-0.02251886627950145,-0.14071223216117043,-0.443905846912152
2000-01-02,-0.18578769351065166,0.9655922527459403,1.3910325418814578,-0.005792009640270525,-0.717829266350382,-0.04283907831023995,-0.11932084554408745,-0.4503593786583886
2000-01-03,-0.20295430169015502,0.9621225582381312,1.391551454697265,0.00941504139420907,-0.7164593037787406,-0.06312527416104138,-0.09758096508612864,-0.4554976365445059
2000-01-04,-0.22005756583009425,0.958352575513094,1.3919172763906,0.024621056948203008,-0.7145206702693879,-0.083361367216631,-0.0755562401306101,-0.4593062486853586
2000-01-05,-0.23709214719181945,0.9542834787866198,1.3921301462148055,0.039824367331336256,-0.7120151648191115,-0.10353132596119916,-0.05331069071209779,-0.4617723203696804
2000-01-06,-0.2540527295171879,0.9499165402287918,1.3921902241855433,0.05502330717234584,-0.7089450391850812,-0.12361918714978963,-0.030908871549578082,-0.4628844168121166
2000-01-07,-0.2709340211761264,0.9452531295022867,1.3920976909954073,0.07021621573172358,-0.7053129949738903,-0.1436090693919348,-0.008416040291717764,-0.46263256867814595
2000-01-08,-0.2877307566793317,0.940294713267404,1.3918527479683,0.08540143722285257,-0.7011221822066643,-0.16348517976648083,0.014101672383706555,-0.46100830188162006
2000-01-09,-0.3044376987138442,0.9350428546840416,1.3914556168900625,0.10057732112361872,-0.6963761935479998,-0.18323183515024885,0.03657708610985382,-0.45800469227586627
2000-01-10,-0.3210496399958596,0.9294992127569711,1.3909065398984655,0.11574222241358624,-0.6910790614071014,-0.20283347555015602,0.058941791078135734,-0.45361644697353143
2000-01-11,-0.3375614051493634,0.9236655418052375,1.3902057793090878,0.13089450194426214,-0.6852352541153331,-0.22227466705210114,0.08112596492765843,-0.4478400141886583
2000-01-12,-0.3539678525255374,0.9175436907011784,1.3893536174748315,0.14603252670801958,-0.6788496715888173,-0.24154012072816813,0.1030581870677928,-0.4406737234706782
2000-01-13,-0.3702638760595876,0.9111356022814191,1.3883503566398858,0.1611546701125232,-0.6719276396251969,-0.26061470293136607,0.12466525151488411,-0.4321179594490911
2000-01-14,-0.3864444070407752,0.9044433124967656,1.3871963187885998,0.17625931225462985,-0.6644749058537032,-0.27948344799474684,0.14587197972860746,-0.42217537197998917
2000-01-15,-0.40250441590139435,0.8974689496473529,1.385891845439669,0.19134484027126974,-0.6564976329658276,-0.29813156923463774,0.1666010354773575,-0.4108511265069794
2000-01-16,-0.4184389139176657,0.8902147334038558,1.384437297424834,0.20640964868730383,-0.6480023941590191,-0.3165444710914456,0.1867727444759404,-0.3981531988792693
2000-01-17,-0.43424295523173,0.8826829745413916,1.382833055032654,0.22145213920085458,-0.6389961657432852,-0.3347077597868348,0.20630492240755552,-0.3840927193728235
2000-01-18,-0.44991163859443356,0.8748760740561641,1.3810795177173512,0.23647072115724335,-0.6294863218184245,-0.3526072550650476,0.22511271591166704,-0.36868437098231305
2000-01-19,-0.4654401088350379,0.8667965217198871,1.3791771035470919,0.2514638122845779,-0.6194806262822725,-0.37022900023201105,0.24310846244443454,-0.35194684764514456
2000-01-20,-0.4808235580227896,0.8584468939904518,1.3771262492463952,0.2664298387782125,-0.6089872275894829,-0.38755927410885993,0.2602015779803189,-0.33390337941923687
2000-01-21,-0.4960572282754314,0.8498298553655801,1.3749274099679603,0.28136723564021265,-0.5980146505542514,-0.40458460077557884,0.27629847941331337,-0.3145823281622044
2000-01-22,-0.5111364131637984,0.8409481568015463,1.3725810593824292,0.2962744461086538,-0.5865717875374229,-0.4212917588371053,0.2913025577072954,-0.29401786339769415
2000-01-23,-0.5260564589789851,0.8318046340226557,1.37008768927225,0.3111499225257454,-0.5746678910342063,-0.43766779208607887,0.3051142137108111,-0.2722507208934018
2000-01-24,-0.540812765433956,0.8224022048710916,1.3674478092931708,0.3259921267306761,-0.5623125670219146,-0.4537000195444901,0.3176309772528422,-0.24932905037938152
2000-01-25,-0.5554007889363024,0.8127438710583798,1.3646619468018606,0.34079952998387686,-0.5495157662167789,-0.4693760447278248,0.3287477318250463,-0.22530935455731685
2000-01-26,-0.5698160437486754,0.8028327163007077,1.3617306466717347,0.35557061328086764,-0.5362877740551307,-0.4846837642468763,0.3383570714014308,-0.2002575187707211
